E0, Erec, Ee', pex, pey, pez, Ep, ppx, ppy, ppz 
1.70435,1.66217,1.42514,-0.566776,-0.0734449,1.30553,1.17529,0.491176,0.0152586,0.509384
2.78292,2.74186,2.40207,0.521531,0.493097,2.29233,1.27807,-0.53267,-0.502924,0.465231
1.81052,1.76908,1.59031,0.217991,0.440161,1.51256,1.11704,-0.179099,-0.459868,0.351943
4.93439,2.2689,2.18687,0.586364,-0.112096,2.1038,1.02031,0.0138595,-0.377669,0.133573
2.70649,2.13875,1.83778,-0.014545,0.53383,1.75848,1.23924,-0.126873,-0.280927,0.748565
1.37575,1.26537,1.17428,0.115051,0.301756,1.129,1.02937,-0.144666,-0.397106,-0.0248577
1.55194,1.22468,1.14371,0.223287,0.29573,1.08201,1.01925,0.25834,0.184773,0.24007
1.96083,1.57762,1.52978,0.504043,0.414886,1.38348,0.986118,0.256381,0.111008,0.118407
1.95818,1.47806,1.41832,0.459554,0.113445,1.337,0.99801,0.166023,-0.235762,0.18034
1.20351,1.15747,1.10094,-0.295858,-0.186258,1.04395,0.994809,0.304965,-0.00564873,-0.127495
2.14937,1.80182,1.68105,0.296502,0.403188,1.60482,1.05904,0.435769,-0.223686,-0.0358899
3.16144,1.96659,1.84586,0.163867,0.531695,1.76001,1.059,-0.228239,0.19005,0.391042
1.68598,1.64198,1.24601,-0.339358,0.488381,1.09492,1.33425,0.562196,-0.448107,0.618875
2.07351,1.62062,1.23755,0.330484,-0.120857,1.18647,1.32134,0.154525,0.229179,0.888363
1.91707,1.87554,1.72816,0.0360591,-0.527133,1.64541,1.08565,-0.130266,0.479252,0.227226
